,PLAYER_ID,PLAYER_NAME,G,CONTESTED_SHOTS,DEFLECTIONS,CHARGES_DRAWN,SCREEN_AST_PTS,LOOSE_BALLS_RECOVERED,BOX_OUTS
415,1628970,Miles Bridges,71,641,108,0,107,64,94
416,1630540,Miles McBride,33,65,27,0,6,5,6
417,1629011,Mitchell Robinson,66,541,130,1,430,50,247
419,1628964,Mo Bamba,63,593,63,0,223,31,111
420,1628420,Monte Morris,68,254,76,2,76,37,17
421,1626149,Montrezl Harrell,63,492,52,12,406,36,154
422,1629021,Moritz Wagner,55,215,41,11,192,17,82
423,1629650,Moses Brown,32,100,5,0,41,5,16
424,1630541,Moses Moody,47,97,21,4,7,11,11
428,1626167,Myles Turner,42,451,69,2,201,17,108
429,1630230,Naji Marshall,46,82,41,3,0,16,21
430,1629642,Nassir Little,42,270,35,0,21,20,22
432,1630233,Nathan Knight,34,91,15,0,65,8,23
433,1629675,Naz Reid,69,387,61,2,338,27,89
435,202357,Nemanja Bjelica,64,380,52,0,209,24,38
436,203457,Nerlens Noel,25,156,69,3,142,15,46
437,1629651,Nic Claxton,38,357,46,0,176,13,64
438,1630208,Nick Richards,47,120,10,1,90,4,21
439,1629638,Nickeil Alexander-Walker,61,199,104,2,24,31,25
440,201587,Nicolas Batum,53,271,107,4,57,26,19
442,203999,Nikola Jokic,67,803,189,2,478,43,221
443,202696,Nikola Vucevic,65,651,144,2,695,42,211
444,1626181,Norman Powell,43,204,79,0,15,22,14
446,1628384,OG Anunoby,43,320,124,2,39,42,56
447,1630167,Obi Toppin,63,212,41,0,88,22,61
449,1630209,Omer Yurtseven,50,231,40,2,186,15,68
450,1630168,Onyeka Okongwu,39,328,41,1,217,17,71
451,1629052,Oshae Brissett,61,240,65,3,51,37,39
452,203490,Otto Porter Jr.,57,200,93,1,91,31,40
454,200782,P.J. Tucker,65,409,85,10,262,51,105
455,1629023,P.J. Washington,56,420,115,1,226,26,91
457,1627783,Pascal Siakam,60,508,126,0,159,68,136
458,1626192,Pat Connaughton,57,397,72,1,70,40,65
459,201976,Patrick Beverley,52,160,126,17,69,47,7
461,201988,Patty Mills,72,184,77,7,79,30,29
462,202331,Paul George,26,143,79,5,24,28,24
463,200794,Paul Millsap,32,95,33,2,71,8,41
