,NAME,ORPM,DRPM,RPM,WINS,PLAYER_ID
4,Brad Wanamaker,-2.41,-4.13,-6.54,-0.56,202954
34,Davis Bertans,0.84,-3.34,-2.51,1.14,202722
38,Bojan Bogdanovic,0.93,1.51,2.44,9.11,202711
34,Jimmy Butler,1.61,2.74,4.36,10.11,202710
19,Cory Joseph,-2.35,-0.57,-2.91,1.67,202709
10,Reggie Jackson,-0.54,4.13,3.60,11.56,202704
18,Tobias Harris,-1.56,4.89,3.33,11.16,202699
0,Nikola Vucevic,-0.23,4.22,3.98,12.91,202696
6,Marcus Morris Sr.,-0.50,-0.19,-0.68,3.61,202694
0,Alec Burks,-1.17,0.71,-0.46,5.95,202692
4,Klay Thompson,2.79,-0.50,2.29,3.28,202691
4,Kemba Walker,-0.01,-0.62,-0.63,2.35,202689
39,Bismack Biyombo,-0.50,-2.08,-2.58,0.63,202687
33,Jonas Valanciunas,-0.19,4.60,4.42,12.32,202685
32,Tristan Thompson,-1.30,-3.10,-4.40,0.06,202684
18,Enes Freedom,-1.96,-2.29,-4.25,0.08,202683
2,Kyrie Irving,4.22,-1.90,2.32,3.42,202681
6,Ish Smith,-1.70,-3.65,-5.35,-0.62,202397
24,Lance Stephenson,0.78,-4.63,-3.86,0.37,202362
35,Nemanja Bjelica,0.37,-2.89,-2.53,1.68,202357
30,Hassan Whiteside,0.30,-1.51,-1.21,3.06,202355
13,Avery Bradley,-4.02,1.28,-2.74,1.54,202340
6,Eric Bledsoe,-0.97,-0.43,-1.40,3.12,202339
2,Ed Davis,-2.17,-1.50,-3.66,0.13,202334
1,Paul George,2.37,-0.02,2.35,4.38,202331
24,Gordon Hayward,-0.46,0.33,-0.13,4.55,202330
34,DeMarcus Cousins,2.18,-1.15,1.03,2.71,202326
29,Derrick Favors,-2.79,0.37,-2.42,0.97,202324
4,Wesley Matthews,-1.17,-3.36,-4.52,-0.02,202083
15,Garrett Temple,-1.74,-2.44,-4.17,0.26,202066
26,Patty Mills,-0.97,0.83,-0.14,6.70,201988
38,Danny Green,-2.11,0.16,-1.95,2.06,201980
3,Patrick Beverley,0.55,1.76,2.30,6.18,201976
10,Wayne Ellington,0.39,-3.10,-2.71,1.09,201961
21,Taj Gibson,-2.22,-2.05,-4.27,0.15,201959
24,Jrue Holiday,2.34,-0.82,1.52,9.05,201950
3,James Johnson,-1.41,-2.27,-3.67,0.69,201949
3,DeMar DeRozan,1.09,2.67,3.75,13.93,201942
2,Stephen Curry,5.07,4.64,9.70,21.00,201939
29,Ricky Rubio,0.74,-1.92,-1.18,2.55,201937
25,James Harden,3.48,1.37,4.84,13.38,201935
19,Blake Griffin,0.80,-0.74,0.06,3.17,201933
6,DeAndre Jordan,-2.22,-0.45,-2.67,0.73,201599
27,George Hill,-0.55,-1.86,-2.41,1.93,201588
30,Nicolas Batum,-0.80,3.38,2.58,6.22,201587
14,Serge Ibaka,-0.52,-1.72,-2.24,1.54,201586
1,JaVale McGee,0.43,-0.94,-0.51,3.28,201580
2,Robin Lopez,-1.24,-3.98,-5.22,-0.28,201577
38,D.J. Augustin,-0.18,-5.84,-6.02,-0.95,201571
1,Eric Gordon,-0.13,-1.23,-1.35,3.72,201569
32,Danilo Gallinari,0.08,-1.32,-1.24,3.66,201568
