,PLAYER_ID,PLAYER_NAME,GP,NBA_FANTASY_PTS,AVG_FANTASY_PTS,USG_PCT,HUSTLE_POINTS,RPM,WINS,PER,CAREER_TOTAL_FANTASY_PTS,cum_id,ID_MATCH
122,1629652,Luguentz Dort,51,1367.4,26.81,0.228,976.8,1.37,6.53,12.44,2869.9,1629652,True
123,1629651,Nic Claxton,40,835.6,20.89,0.153,680.37,-1.19,1.89,19.23,1481.6,1629651,True
124,1629650,Moses Brown,33,232.3,7.04,0.209,173.46,-3.21,0.23,16.24,1201.2,1629650,True
125,1629649,Ignas Brazdeikis,36,244.1,6.78,0.16,200.76,-4.63,-0.04,8.52,435.6,1629649,True
126,1629647,Darius Bazley,69,1707.7,24.75,0.18,1269.72,-0.27,5.65,12.72,3725.1,1629647,True
127,1629646,Charles Bassey,23,211.9,9.21,0.152,133.59,-1.43,0.47,21.68,189.9,1629646,True
128,1629645,Kevin Porter Jr.,55,1608.5,29.25,0.233,1246.27,-0.07,4.93,11.93,3170.2,1629645,True
129,1629644,KZ Okpala,21,175.2,8.34,0.141,120.42,-4.83,-0.07,10.56,412.8,1629644,True
130,1629643,Chuma Okeke,64,1401.5,21.9,0.159,1344.24,-1.05,4.33,12.24,2095.2,1629643,True
131,1629642,Nassir Little,42,917.2,21.84,0.155,571.74,-0.62,3.03,13.63,1655.9,1629642,True
132,1629641,Romeo Langford,45,463.5,10.3,0.125,431.02,-4.49,-0.01,9.46,724.7,1629641,True
133,1629640,Keldon Johnson,69,1959.1,28.39,0.205,1240.84,1.10,8.53,14.87,3765.9,1629640,True
134,1629639,Tyler Herro,61,1964.2,32.2,0.279,1233.34,-1.47,4.46,16.31,4522.1,1629639,True
135,1629638,Nickeil Alexander-Walker,62,1237.8,19.96,0.238,971.06,-2.24,2.50,10.46,2570.9,1629638,True
136,1629637,Jaxson Hayes,63,1137.8,18.06,0.154,939.57,-1.39,2.94,18.35,2933.5,1629637,True
137,1629636,Darius Garland,61,2364.7,38.77,0.271,1516.91,4.45,12.88,18.70,4997.7,1629636,True
138,1629634,Brandon Clarke,59,1389.5,23.55,0.17,1063.05,-0.34,3.76,24.27,3964.1,1629634,True
139,1629633,Jarrett Culver,35,270.3,7.72,0.198,291.96,-2.45,0.48,10.45,1719.5,1629633,True
140,1629632,Coby White,55,1198.9,21.8,0.196,856.94,-3.33,1.35,13.45,4384.2,1629632,True
141,1629631,De'Andre Hunter,46,983.9,21.39,0.191,760.33,-1.77,2.42,11.00,2816.1,1629631,True
142,1629630,Ja Morant,56,2559.7,45.71,0.33,1409.68,3.53,10.51,24.80,6781.4,1629630,True
143,1629629,Cam Reddish,49,824.0,16.82,0.213,965.05,-3.71,0.62,12.97,2365.0,1629629,True
144,1629628,RJ Barrett,65,2074.0,31.91,0.264,1323.14,0.83,7.89,13.90,5483.6,1629628,True
145,1629622,Max Strus,63,1060.2,16.83,0.18,915.43,-0.94,3.88,12.60,1370.6,1629622,True
146,1629620,Justin Robinson,25,164.2,6.57,0.153,233.85,-7.42,-0.69,3.71,229.6,1629620,True
147,1629611,Terance Mann,74,1707.3,23.07,0.157,1090.3,-0.39,6.41,13.43,2857.2,1629611,True
148,1629604,CJ Elleby,50,679.0,13.58,0.143,646.08,-4.53,-0.04,9.30,768.4,1629604,True
149,1629599,Amir Coffey,62,1025.5,16.54,0.151,735.81,-1.28,3.38,12.10,1312.5,1629599,True
